file:csv_files/outcome_0.9_0.5_0.8.csv,,p1:1.00,,T1:128.10,,T1F:NoData,,p2:0.28,,p3:0.56,,T2:33.60,,TR:39.43,,T2F:58.00,,p4:1.00,,T3:48.20,,
file:csv_files/outcome_1.0_0.5_0.5.csv,,p1:1.00,,T1:99.60,,T1F:NoData,,p2:1.00,,p3:0.00,,T2:31.00,,TR:NoData,,T2F:NoData,,p4:0.11,,T3:52.78,,
file:csv_files/outcome_0.7_0.45_0.9.csv,,p1:1.00,,T1:114.60,,T1F:NoData,,p2:1.00,,p3:0.00,,T2:35.14,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:50.14,,
file:csv_files/outcome_0.7_0.5_0.7.csv,,p1:1.00,,T1:104.20,,T1F:NoData,,p2:1.00,,p3:0.00,,T2:32.80,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:50.80,,
file:csv_files/outcome_0.5_0.45_0.6.csv,,p1:0.90,,T1:168.78,,T1F:360.00,,p2:1.00,,p3:0.00,,T2:31.11,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:55.67,,
file:csv_files/outcome_0.6_0.3_0.5.csv,,p1:0.90,,T1:197.00,,T1F:360.00,,p2:0.90,,p3:0.10,,T2:31.56,,TR:32.00,,T2F:57.00,,p4:0.11,,T3:49.67,,
file:csv_files/outcome_0.5_0.45_0.7.csv,,p1:0.80,,T1:149.75,,T1F:315.00,,p2:0.67,,p3:0.22,,T2:32.50,,TR:42.00,,T2F:63.00,,p4:1.00,,T3:50.83,,
file:csv_files/outcome_0.8_0.45_1.0.csv,,p1:1.00,,T1:157.60,,T1F:NoData,,p2:1.00,,p3:0.00,,T2:38.50,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:52.25,,
file:csv_files/outcome_0.7_0.5_0.6.csv,,p1:1.00,,T1:78.80,,T1F:NoData,,p2:0.33,,p3:0.50,,T2:31.33,,TR:54.33,,T2F:59.42,,p4:0.67,,T3:55.83,,
file:csv_files/outcome_0.7_0.45_0.8.csv,,p1:1.00,,T1:142.30,,T1F:NoData,,p2:0.55,,p3:0.27,,T2:32.83,,TR:30.00,,T2F:58.60,,p4:0.83,,T3:48.67,,
file:csv_files/outcome_0.8_0.25_0.5.csv,,p1:0.80,,T1:144.38,,T1F:360.00,,p2:1.00,,p3:0.00,,T2:33.29,,TR:NoData,,T2F:NoData,,p4:0.00,,T3:53.86,,
file:csv_files/outcome_0.8_0.35_0.5.csv,,p1:1.00,,T1:110.60,,T1F:NoData,,p2:0.75,,p3:0.17,,T2:30.78,,TR:32.00,,T2F:59.00,,p4:0.00,,T3:52.78,,
file:csv_files/outcome_0.9_0.5_0.9.csv,,p1:1.00,,T1:114.10,,T1F:NoData,,p2:0.50,,p3:0.33,,T2:34.83,,TR:23.00,,T2F:58.83,,p4:1.00,,T3:57.50,,
file:csv_files/outcome_0.8_0.4_1.0.csv,,p1:0.90,,T1:123.22,,T1F:360.00,,p2:0.71,,p3:0.14,,T2:31.00,,TR:NoData,,T2F:58.00,,p4:1.00,,T3:53.00,,
file:csv_files/outcome_0.5_0.35_1.0.csv,,p1:0.80,,T1:172.75,,T1F:338.00,,p2:0.50,,p3:0.25,,T2:31.00,,TR:NoData,,T2F:61.00,,p4:1.00,,T3:50.00,,
file:csv_files/outcome_0.5_0.25_1.0.csv,,p1:0.80,,T1:159.88,,T1F:360.00,,p2:1.00,,p3:0.00,,T2:35.20,,TR:NoData,,T2F:NoData,,p4:0.60,,T3:54.80,,
file:csv_files/outcome_0.8_0.25_0.7.csv,,p1:1.00,,T1:140.20,,T1F:NoData,,p2:0.50,,p3:0.42,,T2:31.83,,TR:67.50,,T2F:62.17,,p4:0.50,,T3:61.50,,
file:csv_files/outcome_0.8_0.35_0.7.csv,,p1:0.90,,T1:88.44,,T1F:360.00,,p2:1.00,,p3:0.00,,T2:35.62,,TR:NoData,,T2F:NoData,,p4:0.88,,T3:57.12,,
file:csv_files/outcome_1.0_0.5_0.6.csv,,p1:1.00,,T1:118.30,,T1F:NoData,,p2:0.82,,p3:0.09,,T2:33.44,,TR:NoData,,T2F:58.00,,p4:1.00,,T3:48.78,,
file:csv_files/outcome_0.5_0.3_1.0.csv,,p1:1.00,,T1:122.60,,T1F:NoData,,p2:0.62,,p3:0.25,,T2:32.00,,TR:27.00,,T2F:58.67,,p4:1.00,,T3:58.80,,
file:csv_files/outcome_0.5_0.45_0.5.csv,,p1:0.90,,T1:162.11,,T1F:327.00,,p2:0.73,,p3:0.18,,T2:31.88,,TR:56.00,,T2F:59.00,,p4:0.38,,T3:59.75,,
file:csv_files/outcome_0.8_0.3_0.8.csv,,p1:1.00,,T1:133.60,,T1F:NoData,,p2:0.83,,p3:0.17,,T2:32.10,,TR:39.50,,T2F:55.00,,p4:1.00,,T3:50.30,,
file:csv_files/outcome_0.5_0.4_0.8.csv,,p1:0.90,,T1:129.11,,T1F:321.00,,p2:0.82,,p3:0.18,,T2:33.00,,TR:81.00,,T2F:63.50,,p4:1.00,,T3:51.56,,
