light,floor,obj,v,minDist,closeConfig,close,safeclose,robustness
0.9,0.25,0.6,0,0.19999999999999996,"[[0.8, 0.42857142857142855, 0.19999999999999996]]",1,0,0.0
0.9,0.35,0.6,1,0.19999999999999996,,,,InViolation
0.9,0.3,1.0,0,0.19999999999999996,"[[0.8, 0.5714285714285714, 1.0], [0.8, 0.28571428571428575, 1.0]]",2,1,0.5
0.9,0.35,0.7,0,0.19999999999999996,"[[0.8, 0.42857142857142855, 0.3999999999999999]]",1,1,1.0
0.9,0.25,0.7,0,0.19999999999999996,"[[0.8, 0.42857142857142855, 0.3999999999999999]]",1,1,1.0
1.0,0.45,0.9,0,0.19999999999999996,[],0,0,NoNeighb
0.9,0.4,0.9,0,0.19999999999999996,[],0,0,NoNeighb
0.7,0.4,0.6,1,0.19999999999999996,,,,InViolation
0.9,0.3,0.6,1,0.19999999999999996,,,,InViolation
0.7,0.3,0.9,0,0.19999999999999996,"[[0.3999999999999999, 0.28571428571428575, 0.8], [0.3999999999999999, 0.5714285714285714, 0.8]]",2,0,0.0
0.9,0.35,1.0,0,0.19999999999999996,"[[0.8, 0.42857142857142855, 1.0]]",1,1,1.0
0.9,0.25,1.0,1,0.19999999999999996,,,,InViolation
0.8,0.5,0.5,13,0.19999999999999996,,,,InViolation
0.6,0.25,0.8,0,0.19999999999999996,[],0,0,NoNeighb
0.6,0.35,0.8,0,0.19999999999999996,"[[0.19999999999999996, 0.7142857142857144, 0.6000000000000001]]",1,1,1.0
0.9,0.45,0.5,13,0.19999999999999996,,,,InViolation
0.7,0.4,1.0,0,0.19999999999999996,[],0,0,NoNeighb
0.6,0.35,0.9,1,0.19999999999999996,,,,InViolation
0.6,0.25,0.9,0,0.19999999999999996,[],0,0,NoNeighb
0.7,0.3,0.8,0,0.19999999999999996,"[[0.3999999999999999, 0.5714285714285714, 0.6000000000000001], [0.3999999999999999, 0.28571428571428575, 0.6000000000000001]]",2,2,1.0
0.9,0.3,0.7,0,0.19999999999999996,"[[0.8, 0.5714285714285714, 0.3999999999999999], [0.8, 0.28571428571428575, 0.3999999999999999]]",2,2,1.0
0.9,0.3,0.5,13,0.19999999999999996,,,,InViolation
1.0,0.3,0.8,0,0.19999999999999996,"[[1.0, 0.5714285714285714, 0.6000000000000001], [1.0, 0.28571428571428575, 0.6000000000000001]]",2,2,1.0
0.8,0.5,0.6,0,0.19999999999999996,"[[0.6000000000000001, 0.8571428571428572, 0.19999999999999996]]",1,1,1.0
1.0,0.35,0.8,0,0.19999999999999996,"[[1.0, 0.42857142857142855, 0.6000000000000001]]",1,1,1.0
1.0,0.25,0.8,0,0.19999999999999996,"[[1.0, 0.42857142857142855, 0.6000000000000001]]",1,1,1.0
1.0,0.4,1.0,0,0.19999999999999996,[],0,0,NoNeighb
0.6,0.5,0.9,12,0.19999999999999996,,,,InViolation
0.9,0.45,0.6,0,0.19999999999999996,[],0,0,NoNeighb
0.9,0.45,0.7,13,0.19999999999999996,,,,InViolation
1.0,0.25,0.9,1,0.19999999999999996,,,,InViolation
0.6,0.5,0.8,1,0.19999999999999996,,,,InViolation
1.0,0.35,0.9,0,0.19999999999999996,"[[1.0, 0.42857142857142855, 0.8]]",1,1,1.0
0.8,0.5,0.7,0,0.19999999999999996,"[[0.6000000000000001, 0.8571428571428572, 0.3999999999999999]]",1,1,1.0
1.0,0.3,0.9,0,0.19999999999999996,"[[1.0, 0.28571428571428575, 0.8], [1.0, 0.5714285714285714, 0.8]]",2,1,0.5
0.7,0.25,0.9,1,0.19999999999999996,,,,InViolation
0.7,0.35,0.9,1,0.19999999999999996,,,,InViolation
0.6,0.4,0.9,0,0.19999999999999996,"[[0.19999999999999996, 0.8571428571428572, 0.8], [0.19999999999999996, 0.5714285714285714, 0.8]]",2,1,0.5
1.0,0.5,1.0,0,0.19999999999999996,[],0,0,NoNeighb
0.5,0.3,0.6,1,0.19999999999999996,,,,InViolation
0.8,0.4,0.6,1,0.19999999999999996,,,,InViolation
0.5,0.25,0.6,1,0.19999999999999996,,,,InViolation
0.5,0.35,0.6,0,0.19999999999999996,"[[0.0, 0.42857142857142855, 0.19999999999999996]]",1,0,0.0
0.5,0.35,0.7,1,0.19999999999999996,,,,InViolation
0.5,0.25,0.7,1,0.19999999999999996,,,,InViolation
0.8,0.25,1.0,1,0.19999999999999996,,,,InViolation
0.8,0.35,1.0,0,0.19999999999999996,"[[0.6000000000000001, 0.7142857142857144, 1.0]]",1,0,0.0
0.8,0.4,0.7,0,0.19999999999999996,"[[0.6000000000000001, 0.5714285714285714, 0.3999999999999999], [0.6000000000000001, 0.8571428571428572, 0.3999999999999999]]",2,2,1.0
0.5,0.3,0.7,1,0.19999999999999996,,,,InViolation
0.6,0.4,0.8,0,0.19999999999999996,"[[0.19999999999999996, 0.8571428571428572, 0.6000000000000001], [0.19999999999999996, 0.5714285714285714, 0.6000000000000001]]",2,2,1.0
0.8,0.45,0.5,13,0.19999999999999996,,,,InViolation
0.6,0.3,1.0,0,0.19999999999999996,[],0,0,NoNeighb
0.7,0.35,0.8,0,0.19999999999999996,"[[0.3999999999999999, 0.42857142857142855, 0.6000000000000001]]",1,1,1.0
0.7,0.25,0.8,0,0.19999999999999996,"[[0.3999999999999999, 0.42857142857142855, 0.6000000000000001]]",1,1,1.0
0.5,0.45,1.0,123,0.19999999999999996,,,,InViolation
0.8,0.45,0.7,0,0.19999999999999996,"[[0.6000000000000001, 1.0, 0.3999999999999999], [0.6000000000000001, 0.7142857142857144, 0.3999999999999999]]",2,2,1.0
0.5,0.3,0.5,123,0.19999999999999996,,,,InViolation
0.8,0.4,0.5,13,0.19999999999999996,,,,InViolation
0.5,0.35,0.5,13,0.19999999999999996,,,,InViolation
0.5,0.25,0.5,13,0.19999999999999996,,,,InViolation
0.7,0.5,1.0,0,0.19999999999999996,[],0,0,NoNeighb
0.8,0.45,0.6,0,0.19999999999999996,"[[0.6000000000000001, 1.0, 0.19999999999999996], [0.6000000000000001, 0.7142857142857144, 0.19999999999999996]]",2,1,0.5
0.7,0.25,0.6,1,0.19999999999999996,,,,InViolation
0.7,0.35,0.6,0,0.19999999999999996,"[[0.3999999999999999, 0.7142857142857144, 0.19999999999999996]]",1,0,0.0
0.6,0.4,0.6,0,0.19999999999999996,[],0,0,NoNeighb
